crypto_type,concurrent_users,avg_connection_time_ms,max_connection_time_ms,min_connection_time_ms,success_rate_%,failed_connections,quantum_resistant
RSA-2048,10,236.555,353.7,164.10000000000002,100.0,0,False
ECC-P256,10,113.16600000000001,203.256,70.98,100.0,0,False
Kyber-512,10,268.87199999999996,485.19000000000005,167.10000000000002,100.0,0,True
Kyber-768,10,532.8199999999999,1188.0,289.68,80.0,2,True
Dilithium-2,10,481.4531999999999,1372.464,312.768,90.0,1,True
RSA-2048,25,213.7164,610.1999999999999,111.1,96.0,1,False
ECC-P256,25,129.5676,371.79,75.66000000000001,96.0,1,False
Kyber-512,25,355.30980000000005,1235.25,166.65,96.0,1,True
Kyber-768,25,532.7472000000001,1241.28,241.0,84.0,4,True
Dilithium-2,25,415.25064,1372.464,189.0,96.0,1,True
RSA-2048,50,253.37379999999996,868.86,103.0,90.0,5,False
ECC-P256,50,151.59936,629.856,61.85999999999999,90.0,5,False
Kyber-512,50,421.50059999999996,1234.5749999999998,154.5,84.0,8,True
Kyber-768,50,470.17960000000005,1403.1000000000001,222.8,96.0,2,True
Dilithium-2,50,437.74704,1556.172,189.0,92.0,4,True
RSA-2048,100,262.9586,1044.9,114.6,87.0,13,False
ECC-P256,100,169.79334000000003,609.768,62.94,80.0,20,False
Kyber-512,100,497.8839,1574.6399999999999,159.0,73.0,27,True
Kyber-768,100,525.9404,1732.5,203.2,87.0,13,True
Dilithium-2,100,534.6172799999999,1770.0120000000002,189.0,83.0,17,True
RSA-2048,150,338.8454,973.6199999999999,101.6,66.66666666666666,50,False
ECC-P256,150,205.62015999999997,608.7959999999999,61.800000000000004,69.33333333333334,46,False
Kyber-512,150,499.64889999999997,1539.81,159.3,70.0,45,True
Kyber-768,150,699.6048,2113.56,212.0,69.33333333333334,46,True
Dilithium-2,150,554.4729600000001,1898.3159999999998,182.88,74.66666666666667,38,True
RSA-2048,200,337.22645000000006,1044.9,103.0,70.0,60,False
ECC-P256,200,196.47818999999998,626.94,60.96,73.0,54,False
Kyber-512,200,497.499375,1585.98,159.0,71.0,58,True
Kyber-768,200,663.77,2124.3600000000006,203.2,72.0,56,True
Dilithium-2,200,626.12604,1909.98,204.11999999999998,69.0,62,True
RSA-2048,250,320.87204,1054.62,103.1,72.0,70,False
ECC-P256,250,203.89341600000003,629.856,60.96,68.8,78,False
Kyber-512,250,509.3469,1591.65,152.4,69.6,76,True
Kyber-768,250,724.64336,2122.2,209.79999999999998,64.0,90,True
Dilithium-2,250,610.846416,1903.1760000000002,185.4,69.6,76,True
RSA-2048,300,342.5338333333333,1054.62,103.1,68.33333333333333,95,False
ECC-P256,300,204.43017999999998,615.9240000000001,60.96,69.66666666666667,91,False
Kyber-512,300,478.12735,1593.27,157.5,72.33333333333334,83,True
Kyber-768,300,696.9037999999999,2122.2,203.2,70.33333333333334,89,True
Dilithium-2,300,609.44526,1889.568,185.4,68.66666666666667,94,True
